Czas[s],Temperatura[degC],Moc[W], Poziom Mocy[%]
477,24.9852,8000,100
478,25.0074,0,0
479,24.9648,8000,100
480,24.9869,8000,100
481,25.0091,0,0
482,24.9665,8000,100
483,24.9886,8000,100
484,25.0108,0,0
485,24.9682,8000,100
486,24.9903,8000,100
487,25.0124,0,0
488,24.9699,8000,100
489,24.992,8000,100
490,25.0141,0,0
491,24.9715,8000,100
492,24.9937,8000,100
493,25.0158,0,0
494,24.9732,8000,100
495,24.9954,8000,100
496,25.0175,0,0
497,24.9749,8000,100
498,24.997,8000,100
499,25.0191,0,0
500,24.9765,8000,100
501,24.9987,8000,100
502,25.0208,0,0
503,24.9782,8000,100
504,25.0003,0,0
505,24.9578,8000,100
506,24.9799,8000,100
507,25.0021,0,0
508,24.9595,8000,100
509,24.9816,8000,100
510,25.0038,0,0
511,24.9612,8000,100
512,24.9833,8000,100
513,25.0055,0,0
514,24.9629,8000,100
515,24.9851,8000,100
516,25.0072,0,0
517,24.9646,8000,100
518,24.9867,8000,100
519,25.0089,0,0
520,24.9663,8000,100
521,24.9884,8000,100
522,25.0106,0,0
523,24.968,8000,100
524,24.9901,8000,100
525,25.0123,0,0
526,24.9697,8000,100
527,24.9918,8000,100
528,25.0139,0,0
529,24.9713,8000,100
530,24.9935,8000,100
531,25.0156,0,0
532,24.973,8000,100
533,24.9952,8000,100
534,25.0173,0,0
535,24.9747,8000,100
536,24.9968,8000,100
537,25.019,0,0
538,24.9764,8000,100
539,24.9985,8000,100
540,25.0206,0,0
541,24.978,8000,100
542,25.0002,0,0
543,24.9576,8000,100
544,24.9797,8000,100
545,25.0019,0,0
546,24.9593,8000,100
547,24.9815,8000,100
548,25.0036,0,0
549,24.961,8000,100
550,24.9832,8000,100
551,25.0053,0,0
552,24.9627,8000,100
553,24.9849,8000,100
554,25.007,0,0
555,24.9644,8000,100
556,24.9866,8000,100
557,25.0087,0,0
558,24.9661,8000,100
559,24.9883,8000,100
560,25.0104,0,0
561,24.9678,8000,100
562,24.99,8000,100
563,25.0121,0,0
564,24.9695,8000,100
565,24.9916,8000,100
566,25.0138,0,0
567,24.9712,8000,100
568,24.9933,8000,100
569,25.0154,0,0
570,24.9729,8000,100
571,24.995,8000,100
572,25.0171,0,0
573,24.9745,8000,100
574,24.9967,8000,100
575,25.0188,0,0
576,24.9762,8000,100
577,24.9983,8000,100
578,25.0205,0,0
579,24.9779,8000,100
580,25,8000,100
581,25.0221,0,0
582,24.9795,8000,100
583,25.0017,0,0
584,24.9591,8000,100
585,24.9812,8000,100
586,25.0034,0,0
587,24.9608,8000,100
588,24.9829,8000,100
589,25.0051,0,0
590,24.9625,8000,100
591,24.9846,8000,100
592,25.0068,0,0
593,24.9642,8000,100
594,24.9863,8000,100
595,25.0085,0,0
596,24.9659,8000,100
597,24.988,8000,100
598,25.0102,0,0
599,24.9676,8000,100
600,24.9897,8000,100
601,25.0119,0,0
602,24.9693,8000,100
603,24.9914,8000,100
604,25.0135,0,0
605,24.9709,8000,100
606,24.9931,8000,100
607,25.0152,0,0
608,24.9726,8000,100
609,24.9948,8000,100
610,25.0169,0,0
611,24.9743,8000,100
612,24.9964,8000,100
613,25.0186,0,0
614,24.976,8000,100
615,24.9981,8000,100
616,25.0202,0,0
617,24.9776,8000,100
618,24.9998,8000,100
619,25.0219,0,0
620,24.9793,8000,100
621,25.0014,0,0
622,24.9588,8000,100
623,24.981,8000,100
